id,actorid_id,movieid_id
22372,nm0000354,tt1535108
22373,nm0000149,tt1535108
22374,nm1663205,tt1535108
22375,nm0103797,tt1535108
22376,nm0526019,tt1535108
22382,nm1172478,tt1234721
22383,nm0000198,tt1234721
22384,nm0000474,tt1234721
22385,nm0180411,tt1234721
22386,nm0355097,tt1234721
22391,nm0000702,tt1341188
22392,nm0748620,tt1341188
22393,nm0005562,tt1341188
22394,nm0000197,tt1341188
22395,nm1063517,tt1341188
22396,nm0000129,tt1013743
22397,nm0000139,tt1013743
22398,nm0765597,tt1013743
22399,nm0003244,tt1013743
22400,nm0205626,tt1013743
22401,nm0000129,tt1483013
22402,nm0000151,tt1483013
22403,nm1385871,tt1483013
22404,nm2057859,tt1483013
22405,nm0182666,tt1483013
22421,nm0413168,tt1430132
22422,nm5148840,tt1430132
22423,nm3822462,tt1430132
22424,nm0760796,tt1430132
22425,nm1300303,tt1430132
22451,nm1083271,tt1291150
22452,nm0004715,tt1291150
22453,nm0001209,tt1291150
22454,nm2024927,tt1291150
22455,nm0279720,tt1291150
22456,nm0000113,tt1454468
22457,nm0000123,tt1454468
22458,nm0000438,tt1454468
22459,nm2060857,tt1454468
22500,nm0000701,tt2908446
22501,nm2541974,tt2908446
22502,nm0001616,tt2908446
22503,nm0940362,tt2908446
22504,nm3772243,tt2908446
22510,nm0085312,tt1320261
22511,nm0781981,tt1320261
22512,nm1289434,tt1320261
22513,nm0001605,tt1320261
22514,nm0175262,tt1320261
22525,nm0822982,tt1253863
22526,nm1200692,tt1253863
22527,nm0372176,tt1253863
22528,nm0558548,tt1253863
22529,nm0612534,tt1253863
22549,nm0000279,tt2017020
22550,nm0000439,tt2017020
22551,nm0322407,tt2017020
22552,nm1724323,tt2017020
22553,nm5016878,tt2017020
22559,nm2633535,tt1731141
22560,nm0000148,tt1731141
22561,nm2794962,tt1731141
22562,nm1113550,tt1731141
22563,nm0001426,tt1731141
22648,nm0000288,tt1152836
22649,nm0831601,tt1152836
22650,nm0164809,tt1152836
22651,nm0000136,tt1152836
22652,nm0334318,tt1152836
22663,nm0000243,tt1111422
22664,nm0000237,tt1111422
22665,nm0350079,tt1111422
22671,nm0002071,tt1386588
22672,nm1157013,tt1386588
