"movieid","title"
"tt0244244","Swordfish"
"tt0386140","The Legend of Zorro"
"tt0120889","What Dreams May Come"
"tt0185431","Little Nicky"
"tt0355295","The Brothers Grimm"
"tt0116996","Mars Attacks!"
"tt4291590","Évolution"
"tt0119051","The Edge"
"tt0986263","Surrogates"
"tt1762399","Walking with Dinosaurs 3D"
"tt0185183","Battlefield Earth"
"tt0318155","Looney Tunes: Back in Action"
"tt0875034","Nine"
"tt0300556","Timeline"
"tt0119925","The Postman"
"tt0120595","Babe: Pig in the City"
"tt1618442","The Last Witch Hunter"
"tt0344854","Arthur et les Minimoys"
"tt0765128","Océans"
"tt0318081","A Sound of Thunder"
"tt1921064","Pompeii"
"tt0268978","A Beautiful Mind"
"tt0110357","The Lion King"
"tt1397514","Journey 2: The Mysterious Island"
"tt1985966","Cloudy with a Chance of Meatballs 2"
"tt0289765","Red Dragon"
"tt0317648","Hidalgo"
"tt0810913","Jack and Jill"
"tt0322259","2 Fast 2 Furious"
"tt1754656","Le Petit Prince"
"tt0427392","The Invasion"
"tt0131704","The Adventures of Rocky & Bullwinkle"
"tt2709768","The Secret Life of Pets"
"tt0311429","The League of Extraordinary Gentlemen"
"tt1690953","Despicable Me 2"
"tt0116629","Independence Day"
"tt0119567","The Lost World: Jurassic Park"
"tt0351283","Madagascar"
"tt0206634","Children of Men"
"tt0120903","X-Men"
"tt0493464","Wanted"
"tt0438097","Ice Age: The Meltdown"
"tt0343660","50 First Dates"
"tt0427327","Hairspray"
"tt0204313","Exorcist: The Beginning"
"tt1670345","Now You See Me"
"tt1375670","Grown Ups"
"tt0362227","The Terminal"
"tt3489184","Constantine"
"tt0785006","Hotel for Dogs"
"tt0472062","Charlie Wilson's War"
"tt0307453","Shark Tale"
"tt0443489","Dreamgirls"
"tt0874936","Life"
"tt0314353","Tears of the Sun"
"tt1103153","Killers"
"tt1638355","The Man from U.N.C.L.E."
"tt0371246","Spanglish"
"tt0385880","Monster House"
"tt0166485","Anna and the King"
"tt1253864","Immortals"
"tt0340163","Hostage"
"tt0329717","Hollywood Homicide"
"tt0120157","Soldier"
"tt0806203","Carriers"
"tt0166276","Monkeybone"
"tt0377062","Flight of the Phoenix"
"tt0217869","Unbreakable"
"tt2293640","Minions"
"tt0978764","Sucker Punch"
"tt0120832","Snake Eyes"
"tt0120184","Sphere"
"tt1985949","Angry Birds"
"tt0770752","Fool's Gold"
"tt1201167","Funny People"
"tt0431197","The Kingdom"
"tt0415306","Talladega Nights: The Ballad of Ricky Bobby"
"tt0240462","Dr. Dolittle 2"
"tt0112573","Braveheart"
"tt0418763","Jarhead"
"tt0462538","The Simpsons Movie"
"tt0268995","The Majestic"
"tt0132245","Driven"
"tt0368447","The Village"
"tt0118998","Doctor Dolittle"
"tt0286106","Signs"
"tt0298148","Shrek 2"
"tt0317219","Cars"
"tt0163187","Runaway Bride"
"tt0295701","xXx"
"tt2279373","The SpongeBob Movie: Sponge Out of Water"
"tt0117438","Ransom"
"tt0361748","Inglourious Basterds"
"tt0102057","Hook"
"tt0099423","Die Hard 2"
"tt0257076","S.W.A.T."
"tt2647544","Sleepy Hollow"
"tt0259711","Vanilla Sky"
"tt0452637","Lady in the Water"
"tt0370263","AVP: Alien vs. Predator"
"tt1231580","Alvin and the Chipmunks: The Squeakquel"
"tt0277434","We Were Soldiers"
"tt2302755","Olympus Has Fallen"
"tt0120844","Star Trek: Insurrection"
"tt1217613","Battle Los Angeles"
"tt0319061","Big Fish"
"tt0111742","Wolf"
"tt1568911","War Horse"
"tt2177771","The Monuments Men"
"tt0096754","The Abyss"
"tt1027718","Wall Street: Money Never Sleeps"
"tt0829150","Dracula Untold"
"tt0133952","The Siege"
"tt0486655","Stardust"
"tt0120102","Seven Years in Tibet"
"tt1578275","The Dilemma"
"tt0419706","Doom"
"tt0297181","I Spy"
"tt1496025","Underworld Awakening"
"tt1336608","Rock of Ages"
"tt1448755","Killer Elite"
"tt0246894","Rollerball"
"tt0308208","Ballistic: Ecks vs. Sever"
"tt0120696","Hard Rain"
"tt0181739","Osmosis Jones"
"tt0884726","Legends of Oz: Dorothy's Return"
"tt2717822","Blackhat"
"tt0346156","Sky Captain and the World of Tomorrow"
"tt0430912","Basic Instinct 2"
"tt1211956","Escape Plan"
"tt1043726","The Legend of Hercules"
"tt0164184","The Sum of All Fears"
"tt1325004","The Twilight Saga: Eclipse"
"tt1323594","Despicable Me"
